Date	ConsumerPriceIndex	Dow Jones	GDP	GDP_Construction	"All Employees, Residential Building [000]"	Producer Price Index by Industry: Construction Sand and Gravel Mining	Producer Price Index by Commodity: Machinery and Equipment	Maintenance and Repair of Nonresidential Buildings	Purchase Only House Price Index	New Manufactured Homes Avg Sales proce	&P/Case-Shiller U.S. National Home Price Index	Industrial Production: Manufacturing: Durable Goods: Sawmills and Wood
10/1/2021	276589	33843.92	24008.5		883.1	422.911	158.884	131.908	361.46	81700	273.58	100.6049
11/1/2021	277948	35913.84	24008.5		881	423.607	159.268	132.625	364.57		276.086	97.3566
12/1/2021	278802	34022.04	24008.5		874.8	424.1	164.718	132.575	367.18		278.629	94.7803
1/1/2022		36585.06				431.23	158.217				281.802	98.2164
